date,ticker,open,high,low,close,vol_btc,vol_usd,usdt_supply,google_trends,sp500
4/20/2017,BTCUSD,1214.21,1240.6,1212.01,1236.15,7744.55,9501637.02,64951600,,2066.129883
4/19/2017,BTCUSD,1201.94,1215.32,1191.09,1214.21,6271.07,7541444,64951600,,2072.780029
4/18/2017,BTCUSD,1189.91,1206.65,1189.76,1201.94,6267.85,7513057.56,64951600,,2059.73999
4/17/2017,BTCUSD,1177.99,1197.6,1170.85,1189.91,6546.71,7740345.7,64951600,,2063.949951
4/16/2017,BTCUSD,1178.85,1189.93,1171.7,1177.99,3082.06,3641302.03,64951600,,2055.01001
4/15/2017,BTCUSD,1173.74,1190.99,0.06,1178.85,3969.63,4656021.2,64951600,,2037.050049
4/14/2017,BTCUSD,1177.05,1196.92,1170.14,1173.74,5666.05,6700478,64951600,,2035.939941
4/13/2017,BTCUSD,1214.17,1219.49,1148.98,1177.05,9425.11,11144752.42,64951600,,2036.709961
4/12/2017,BTCUSD,1223.99,1227.86,1209.61,1214.17,6491.4,7909230.94,64951600,,2049.800049
4/11/2017,BTCUSD,1210,1234,1200,1223.99,5480.34,6672699.9,64951600,,2051.600098
4/10/2017,BTCUSD,1210.97,1219.78,1201,1210,5640.01,6833607.77,64951600,,2049.580078
4/9/2017,BTCUSD,1184.5,1221,1175.8,1210.97,5807.85,6968901.3,64951600,,2040.589966
4/8/2017,BTCUSD,1194,1198,1170,1184.5,4413.74,5240032.49,64951600,,2027.219971
4/7/2017,BTCUSD,1192.3,1203,1175.26,1194,6982.52,8325135.18,64951600,,2015.930054
4/6/2017,BTCUSD,1132.99,1206.97,1132.98,1192.3,11217.35,13139193.22,64951600,,2019.640015
4/5/2017,BTCUSD,1143.99,1144.99,1114.9,1132.99,8699.48,9834667.4,64951600,,2022.189941
4/4/2017,BTCUSD,1152.6,1164.14,1124.98,1143.99,8956.84,10260007.65,54951600,,1989.569946
4/3/2017,BTCUSD,1113.99,1168.72,1112.24,1152.6,12693.53,14518353.53,54951600,,1989.26001
4/2/2017,BTCUSD,1092,1119,1080,1113.99,7881.93,8687910.02,54951600,,1979.26001
4/1/2017,BTCUSD,1088.99,1110.95,1071.45,1092,6728.76,7333795.3,54951600,,2001.76001
3/31/2017,BTCUSD,1042.08,1094.49,1038.11,1088.99,11267.16,12025956.85,54951600,,1999.98999
